Date,Price,Open,High,Low
2013-02-01,1669.4,1663.9,1681.2,1659.9
2013-02-04,1675.3,1668.0,1676.5,1661.6
2013-02-05,1672.4,1674.2,1683.4,1666.5
2013-02-06,1677.7,1672.2,1678.5,1668.0
2013-02-07,1670.4,1677.0,1682.1,1663.1
2013-02-08,1666.0,1671.5,1672.5,1664.8
2013-02-11,1648.2,1666.5,1668.0,1643.7
2013-02-12,1648.7,1643.8,1650.4,1642.4
2013-02-13,1644.2,1652.2,1652.3,1640.2
2013-02-14,1634.7,1641.1,1646.9,1632.7
2013-02-15,1608.8,1633.2,1633.9,1599.5
2013-02-19,1603.6,1610.0,1617.0,1599.7
2013-02-20,1577.6,1604.7,1606.9,1561.8
2013-02-21,1578.2,1568.5,1581.2,1555.2
2013-02-22,1572.4,1580.0,1585.4,1572.4
2013-02-25,1586.2,1579.4,1596.0,1577.7
2013-02-26,1615.2,1593.3,1615.2,1589.0
2013-02-27,1595.2,1612.8,1612.8,1591.8
2013-02-28,1577.7,1596.0,1601.6,1575.1
2013-03-01,1571.9,1579.6,1585.6,1566.0
2013-03-04,1572.1,1580.8,1580.8,1569.7
2013-03-05,1574.6,1577.6,1585.5,1571.4
2013-03-06,1574.6,1577.6,1582.6,1566.8
2013-03-07,1574.8,1580.0,1583.5,1573.9
2013-03-08,1576.6,1578.6,1581.2,1561.8
2013-03-11,1577.8,1576.0,1579.7,1576.0
2013-03-12,1591.5,1579.8,1595.6,1579.8
2013-03-13,1588.3,1592.3,1596.0,1585.0
2013-03-14,1590.6,1585.7,1590.6,1575.7
2013-03-15,1592.5,1590.5,1594.4,1590.2
2013-03-18,1604.6,1605.9,1607.7,1601.6
2013-03-19,1611.3,1613.1,1613.1,1611.3
2013-03-20,1607.5,1610.0,1612.5,1606.2
2013-03-21,1613.8,1612.8,1613.8,1611.9
2013-03-22,1606.2,1611.0,1611.0,1604.1
2013-03-25,1604.6,1607.1,1607.8,1596.1
2013-03-26,1595.8,1595.8,1595.8,1595.8
2013-03-27,1606.2,1598.5,1608.1,1590.3
2013-03-28,1594.8,1604.7,1606.6,1593.6
2013-04-01,1600.0,1596.8,1600.5,1594.8
2013-04-02,1575.1,1599.2,1602.6,1574.1
2013-04-03,1552.8,1575.7,1576.4,1549.2
2013-04-04,1551.8,1557.3,1557.3,1539.1
2013-04-05,1575.4,1553.2,1580.6,1550.1
2013-04-08,1572.0,1575.8,1577.8,1567.8
2013-04-09,1586.2,1571.6,1589.3,1570.0
2013-04-10,1558.3,1584.4,1586.0,1557.0
2013-04-11,1564.3,1557.1,1566.7,1554.8
2013-04-12,1501.0,1560.8,1560.8,1480.2
2013-04-15,1360.6,1478.2,1487.4,1338.0
2013-04-16,1386.8,1358.0,1401.0,1323.0
2013-04-17,1382.2,1373.2,1394.2,1370.2
2013-04-18,1392.0,1347.5,1396.4,1347.5
2013-04-19,1395.3,1419.3,1420.3,1395.1
2013-04-22,1421.0,1406.8,1434.9,1406.8
2013-04-23,1408.6,1429.5,1429.5,1405.8
2013-04-24,1423.4,1423.2,1430.1,1420.4
2013-04-25,1461.8,1433.0,1461.8,1433.0
2013-04-26,1453.6,1467.4,1476.2,1451.4
2013-04-29,1467.4,1462.7,1475.5,1462.3
2013-04-30,1472.2,1471.1,1476.6,1461.0
2013-05-01,1446.3,1475.8,1477.1,1440.0
2013-05-02,1467.7,1459.0,1471.2,1453.5
2013-05-03,1464.3,1465.5,1487.1,1461.4
2013-05-06,1468.1,1468.1,1477.2,1466.8
2013-05-07,1449.0,1462.0,1466.2,1441.2
2013-05-08,1473.9,1455.5,1474.7,1450.7
2013-05-09,1468.8,1471.2,1473.4,1453.0
2013-05-10,1436.8,1455.6,1459.3,1423.0
2013-05-13,1434.5,1440.0,1440.6,1427.8
2013-05-14,1424.7,1430.1,1444.4,1422.0
2013-05-15,1396.5,1425.7,1425.7,1390.1
2013-05-16,1387.1,1390.4,1395.1,1370.6
2013-05-17,1364.9,1386.7,1391.1,1359.1
2013-05-20,1384.3,1342.9,1387.5,1342.9
2013-05-21,1377.8,1386.5,1392.3,1358.5
2013-05-22,1367.6,1387.2,1395.7,1364.5
2013-05-23,1392.0,1380.6,1394.8,1377.8
2013-05-24,1386.8,1386.8,1386.8,1386.8
2013-05-28,1379.1,1380.8,1390.4,1379.1
2013-05-29,1391.3,1391.3,1391.3,1391.3
2013-05-30,1411.5,1392.1,1417.5,1388.3
2013-05-31,1392.6,1412.4,1421.1,1384.2
2013-06-03,1411.7,1389.1,1416.3,1388.3
2013-06-04,1397.1,1410.9,1413.7,1389.0
2013-06-05,1398.4,1397.5,1410.0,1395.6
2013-06-06,1415.7,1401.7,1422.7,1391.6
2013-06-07,1383.0,1411.5,1416.1,1377.9
2013-06-10,1386.2,1378.8,1386.9,1375.6
2013-06-11,1377.0,1384.2,1384.4,1366.0
2013-06-12,1391.8,1375.0,1393.5,1373.7
2013-06-13,1377.6,1386.8,1390.9,1373.4
2013-06-14,1387.3,1383.9,1389.6,1377.8
2013-06-17,1382.8,1390.3,1390.5,1380.0
2013-06-18,1366.6,1383.1,1383.5,1363.0
2013-06-19,1373.6,1368.1,1373.6,1348.1
2013-06-20,1285.9,1348.1,1348.1,1275.4
2013-06-21,1291.6,1280.4,1300.0,1268.9
2013-06-24,1276.8,1297.3,1297.3,1275.7
2013-06-25,1274.8,1281.3,1286.0,1273.2
2013-06-26,1229.6,1273.9,1273.9,1228.8
2013-06-27,1211.4,1224.7,1241.4,1198.3
2013-06-28,1223.8,1200.9,1232.3,1183.2
2013-07-01,1255.9,1234.7,1261.0,1234.2
2013-07-02,1243.6,1254.1,1266.3,1241.2
2013-07-03,1252.1,1243.8,1258.2,1240.3
2013-07-05,1212.9,1252.7,1254.1,1208.9
2013-07-08,1234.9,1218.8,1235.2,1215.4
2013-07-09,1245.9,1234.7,1254.5,1234.4
2013-07-10,1247.4,1244.6,1263.9,1244.6
2013-07-11,1280.1,1284.6,1285.0,1278.9
2013-07-12,1277.8,1282.3,1282.3,1274.3
2013-07-15,1283.8,1292.1,1292.4,1281.6
2013-07-16,1290.8,1279.4,1291.4,1279.4
2013-07-17,1277.9,1286.2,1294.4,1272.9
2013-07-18,1284.6,1275.3,1286.4,1275.2
2013-07-19,1293.3,1291.7,1293.3,1290.0
2013-07-22,1336.4,1317.0,1336.4,1317.0
2013-07-23,1335.1,1334.8,1342.3,1327.9
2013-07-24,1319.7,1342.2,1343.5,1318.6
2013-07-25,1329.0,1318.5,1336.8,1318.5
2013-07-26,1321.7,1326.5,1326.5,1321.7
2013-07-29,1328.4,1328.4,1328.4,1328.4
2013-07-30,1324.0,1327.2,1329.6,1316.2
2013-07-31,1312.4,1325.5,1338.4,1304.9
2013-08-01,1311.0,1323.0,1328.5,1306.9
2013-08-02,1310.6,1306.7,1317.0,1283.0
2013-08-05,1302.6,1311.2,1318.3,1297.5
2013-08-06,1283.2,1303.0,1305.9,1279.3
2013-08-07,1286.1,1282.5,1288.4,1274.0
2013-08-08,1310.7,1283.9,1312.8,1283.7
2013-08-09,1312.9,1315.1,1315.8,1306.7
2013-08-12,1334.7,1317.2,1342.4,1317.2
2013-08-13,1321.2,1331.9,1339.1,1320.2
2013-08-14,1334.0,1317.7,1336.3,1317.7
2013-08-15,1361.6,1340.1,1369.6,1319.9
2013-08-16,1371.7,1366.8,1378.9,1361.0
2013-08-19,1366.2,1379.0,1384.4,1363.9
2013-08-20,1373.1,1355.0,1377.0,1355.0
2013-08-21,1370.6,1372.5,1377.3,1360.9
2013-08-22,1371.2,1362.0,1380.4,1362.0
2013-08-23,1395.7,1376.8,1398.2,1373.9
2013-08-26,1393.0,1398.6,1402.8,1391.3
2013-08-27,1420.6,1403.8,1421.1,1398.7
2013-08-28,1419.0,1417.3,1428.0,1417.3
2013-08-29,1412.9,1417.4,1417.4,1404.5
2013-08-30,1396.1,1407.2,1409.8,1392.3
2013-09-03,1412.0,1393.0,1414.4,1382.3
2013-09-04,1389.9,1413.0,1413.0,1387.1
2013-09-05,1373.1,1393.5,1397.5,1367.1
2013-09-06,1386.7,1371.0,1390.1,1368.9
2013-09-09,1386.8,1389.8,1389.8,1386.5
2013-09-10,1364.1,1377.5,1377.5,1357.6
2013-09-11,1363.9,1365.8,1365.8,1356.7
2013-09-12,1330.4,1360.0,1360.0,1322.4
2013-09-13,1308.4,1322.9,1323.0,1305.3
2013-09-16,1317.9,1328.4,1329.6,1310.8
2013-09-17,1309.5,1313.0,1313.1,1309.5
2013-09-18,1307.8,1292.1,1347.7,1292.1
2013-09-19,1369.4,1362.9,1373.0,1362.9
2013-09-20,1332.5,1347.5,1347.5,1330.7
2013-09-23,1326.9,1327.1,1327.8,1317.6
2013-09-24,1316.0,1321.2,1324.9,1309.4
2013-09-25,1335.9,1322.7,1335.9,1322.7
2013-09-26,1323.6,1335.2,1338.3,1323.6
2013-09-27,1338.4,1321.5,1343.8,1319.7
2013-09-30,1326.5,1345.8,1350.9,1322.0
2013-10-01,1286.0,1328.0,1334.0,1284.5
2013-10-02,1320.6,1288.5,1321.0,1280.0
2013-10-03,1317.4,1312.0,1319.5,1302.5
2013-10-04,1309.7,1316.2,1318.1,1305.7
2013-10-07,1324.8,1313.8,1325.4,1311.8
2013-10-08,1324.2,1326.5,1330.0,1321.2
2013-10-09,1306.9,1317.6,1319.0,1295.3
2013-10-10,1296.6,1303.4,1310.8,1285.0
2013-10-11,1268.0,1286.9,1291.6,1263.8
2013-10-14,1276.4,1275.8,1285.8,1273.9
2013-10-15,1273.0,1270.5,1283.6,1254.1
2013-10-16,1282.0,1282.8,1284.0,1269.2
2013-10-17,1322.7,1307.0,1322.7,1307.0
2013-10-18,1314.4,1318.8,1326.0,1312.6
2013-10-21,1315.7,1316.8,1317.7,1315.7
2013-10-22,1342.5,1313.9,1342.6,1313.9
2013-10-23,1333.9,1331.9,1333.9,1331.9
2013-10-24,1350.2,1334.5,1350.2,1334.5
2013-10-25,1352.4,1346.2,1353.0,1346.2
2013-10-28,1352.0,1351.4,1359.2,1349.0
2013-10-29,1345.2,1359.6,1359.7,1345.2
2013-10-30,1349.0,1340.8,1355.8,1335.6
2013-10-31,1323.6,1334.0,1334.0,1321.7
2013-11-01,1313.1,1325.7,1325.7,1308.0
2013-11-04,1314.6,1314.6,1320.5,1312.1
2013-11-05,1308.0,1313.3,1317.5,1306.9
2013-11-06,1317.7,1313.5,1318.6,1312.5
2013-11-07,1308.4,1323.6,1323.6,1298.0
2013-11-08,1284.5,1308.0,1308.1,1281.3
2013-11-11,1281.0,1281.6,1281.8,1281.0
2013-11-12,1271.1,1282.3,1282.3,1271.1
2013-11-13,1268.3,1274.0,1280.5,1268.3
2013-11-14,1286.2,1280.2,1293.3,1278.1
2013-11-15,1287.3,1287.7,1288.5,1281.5
2013-11-18,1272.2,1284.7,1284.8,1272.2
2013-11-19,1273.4,1274.2,1275.2,1271.0
2013-11-20,1257.9,1269.0,1269.0,1241.9
2013-11-21,1243.5,1245.7,1247.1,1236.5
2013-11-22,1244.0,1243.2,1247.0,1241.4
