Date,Price,Open,High,Low,Vol.,Change %
11/07/2025,"4,009.80","3,986.90","4,035.80","3,981.60",198.89K,0.75%
11/06/2025,"3,979.90","4,004.00","4,007.50","3,979.90",0.65K,-0.01%
11/05/2025,"3,980.30","3,929.90","3,983.50","3,929.90",0.56K,0.83%
11/04/2025,"3,947.70","3,994.20","3,995.40","3,927.40",0.66K,-1.31%
11/03/2025,"4,000.30","3,976.20","4,020.00","3,959.00",,0.45%
10/31/2025,"3,982.20","4,034.50","4,034.50","3,976.60",0.56K,-0.48%
10/30/2025,"4,001.30","3,960.00","4,027.20","3,913.70",0.94K,0.44%
10/29/2025,"3,983.70","3,983.70","3,983.70","3,983.70",1.34K,0.44%
10/28/2025,"3,966.20","3,929.70","3,966.20","3,923.60",0.22K,-0.89%
10/27/2025,"4,001.90","4,060.00","4,078.60","3,971.30",0.22K,-2.83%
10/24/2025,"4,118.40","4,117.50","4,120.60","4,074.90",0.12K,-0.17%
10/23/2025,"4,125.50","4,078.40","4,136.80","4,070.70",0.35K,2.01%
10/22/2025,"4,044.40","4,109.70","4,148.50","4,006.00",1.24K,-1.06%
10/21/2025,"4,087.70","4,332.70","4,332.70","4,087.70",2.94K,-5.74%
10/20/2025,"4,336.40","4,244.10","4,356.60","4,214.60",1.75K,3.50%
10/17/2025,"4,189.90","4,354.70","4,358.00","4,182.20",4.06K,-2.11%
10/16/2025,"4,280.20","4,198.80","4,307.00","4,196.60",4.71K,2.47%
10/15/2025,"4,176.90","4,145.00","4,210.60","4,145.00",3.29K,0.92%
10/14/2025,"4,138.70","4,131.70","4,160.10","4,085.80",2.42K,0.73%
10/13/2025,"4,108.60","4,016.00","4,111.00","4,016.00",1.70K,3.34%
10/10/2025,"3,975.90","3,957.00","4,012.00","3,945.50",1.70K,0.75%
10/09/2025,"3,946.30","4,011.20","4,046.20","3,940.00",3.13K,-2.40%
10/08/2025,"4,043.30","3,987.20","4,049.20","3,987.20",2.18K,1.68%
10/07/2025,"3,976.60","3,959.40","3,981.50","3,940.00",2.90K,0.71%
10/06/2025,"3,948.50","3,931.30","3,960.00","3,926.80",1.27K,1.74%
10/03/2025,"3,880.80","3,855.20","3,886.80","3,853.70",0.39K,1.07%
10/02/2025,"3,839.70","3,856.20","3,888.60","3,823.70",3.42K,-0.72%
10/01/2025,"3,867.50","3,863.50","3,891.90","3,853.30",1.78K,0.70%
09/30/2025,"3,840.80","3,827.50","3,865.50","3,793.40",1.61K,0.52%
09/29/2025,"3,820.90","3,754.80","3,827.60","3,754.80",8.86K,1.21%
09/26/2025,"3,775.30","3,775.30","3,775.30","3,775.30",19.31K,1.03%
09/25/2025,"3,736.90","3,742.80","3,756.00","3,724.70",1.90K,0.13%
09/24/2025,"3,732.10","3,769.80","3,772.50","3,732.10",0.59K,-1.28%
09/23/2025,"3,780.60","3,747.00","3,786.00","3,740.00",0.63K,1.07%
09/22/2025,"3,740.70","3,688.20","3,748.20","3,688.00",0.41K,1.88%
09/19/2025,"3,671.50","3,659.00","3,685.90","3,658.20",0.21K,0.76%
09/18/2025,"3,643.70","3,654.60","3,667.40","3,637.00",0.08K,-1.03%
09/17/2025,"3,681.80","3,669.00","3,685.20","3,661.60",0.18K,-0.19%
09/16/2025,"3,688.90","3,681.40","3,698.60","3,681.40",0.37K,0.18%
09/15/2025,"3,682.20","3,640.00","3,686.40","3,635.10",0.21K,0.90%
09/12/2025,"3,649.40","3,655.50","3,656.80","3,643.00",1.30K,0.34%
09/11/2025,"3,636.90","3,632.90","3,636.90","3,618.40",0.31K,-0.18%
09/10/2025,"3,643.60","3,625.00","3,655.40","3,620.80",0.14K,0.01%
09/09/2025,"3,643.30","3,647.10","3,670.40","3,627.80",0.54K,0.14%
09/08/2025,"3,638.10","3,594.50","3,641.00","3,590.00",0.10K,0.69%
09/05/2025,"3,613.20","3,567.80","3,613.20","3,567.80",0.93K,1.33%
09/04/2025,"3,565.80","3,549.90","3,573.60","3,549.90",0.24K,-0.76%
09/03/2025,"3,593.20","3,554.80","3,593.70","3,553.20",0.07K,1.23%
09/02/2025,"3,549.40","3,485.70","3,559.20","3,485.70",0.66K,2.18%
08/29/2025,"3,473.70","3,432.50","3,475.60","3,426.60",,1.22%
08/28/2025,"3,431.80","3,409.00","3,434.60","3,400.00",1.03K,0.80%
08/27/2025,"3,404.60","3,397.00","3,404.60","3,382.00",3.22K,0.47%
08/26/2025,"3,388.60","3,378.90","3,396.50","3,371.10",0.91K,0.44%
08/25/2025,"3,373.80","3,366.00","3,378.00","3,366.00",1.04K,-0.02%
08/22/2025,"3,374.40","3,349.40","3,377.70","3,349.40",1.24K,1.12%
08/21/2025,"3,336.90","3,349.40","3,349.40","3,326.50",0.14K,-0.19%
08/20/2025,"3,343.40","3,310.60","3,343.50","3,310.10",1.21K,0.91%
08/19/2025,"3,313.40","3,330.20","3,343.50","3,313.40",1.66K,-0.55%
08/18/2025,"3,331.70","3,333.50","3,347.80","3,331.70",0.65K,-0.13%
08/15/2025,"3,336.00","3,346.80","3,346.80","3,335.90",1.19K,0.02%
08/14/2025,"3,335.20","3,346.80","3,356.00","3,328.90",0.59K,-0.70%
08/13/2025,"3,358.70","3,358.80","3,363.40","3,358.70",1.01K,0.29%
08/12/2025,"3,348.90","3,356.20","3,356.20","3,330.10",1.61K,-0.13%
08/11/2025,"3,353.10","3,383.90","3,383.90","3,349.20",1.49K,-2.50%
08/08/2025,"3,439.10","3,438.80","3,477.00","3,402.50",7.66K,1.14%
08/07/2025,"3,400.30","3,384.90","3,422.90","3,384.90",5.46K,0.60%
08/06/2025,"3,380.00","3,380.70","3,383.30","3,361.30",1.49K,-0.06%
08/05/2025,"3,381.90","3,378.50","3,387.20","3,351.20",0.92K,0.22%
08/04/2025,"3,374.40","3,367.60","3,386.50","3,347.40",0.35K,0.80%
08/01/2025,"3,347.70","3,286.20","3,360.60","3,281.00",3.42K,1.65%
07/31/2025,"3,293.20","3,272.90","3,312.00","3,272.90",3.70K,-0.08%
07/30/2025,"3,295.80","3,325.80","3,331.80","3,263.90",19.25K,-0.83%
07/29/2025,"3,323.40","3,323.40","3,323.40","3,323.40",113.14K,0.43%
07/28/2025,"3,309.10","3,326.60","3,326.80","3,309.10",0.53K,-0.75%
07/25/2025,"3,334.00","3,344.00","3,345.00","3,326.50",0.07K,-1.10%
07/24/2025,"3,371.00","3,367.00","3,371.00","3,367.00",1.18K,-0.68%
07/23/2025,"3,394.10","3,430.30","3,433.90","3,388.10",0.06K,-1.31%
07/22/2025,"3,439.20","3,411.00","3,441.00","3,395.60",0.04K,1.10%
07/21/2025,"3,401.90","3,350.30","3,411.70","3,350.30",0.05K,1.46%
07/18/2025,"3,353.00","3,338.20","3,353.00","3,338.20",0.60K,0.39%
07/17/2025,"3,340.10","3,313.80","3,340.80","3,313.80",0.67K,-0.37%
07/16/2025,"3,352.50","3,341.20","3,352.90","3,329.50",0.01K,0.68%
07/15/2025,"3,329.80","3,341.00","3,341.00","3,329.80",0.21K,-0.65%
07/14/2025,"3,351.50","3,367.00","3,375.50","3,350.00",0.58K,-0.13%
07/11/2025,"3,356.00","3,330.50","3,370.00","3,330.50",0.78K,1.16%
07/10/2025,"3,317.40","3,323.60","3,330.50","3,311.60",0.21K,0.18%
07/09/2025,"3,311.60","3,289.40","3,314.00","3,282.00",0.11K,0.14%
07/08/2025,"3,307.00","3,330.40","3,334.50","3,287.60",0.91K,-0.76%
07/07/2025,"3,332.20","3,305.50","3,333.30","3,299.20",0.25K,-0.01%
07/04/2025,"3,332.50","3,342.00","3,342.00","3,332.50",,0.03%
07/03/2025,"3,331.60","3,362.00","3,362.00","3,322.30",,-0.49%
